           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20       -16.773016        61.228157        16.487331       -9.9598703       -7.4087124        43.641548
            -39.2              -40               20       -48.724289       -7.4773893        9.2781944        28.168421       -33.695076       -20.030788
            -38.4              -40               20        30.049145       -36.833817       -35.961952         5.191329        15.581253       -21.695364
            -37.6              -40               20        30.730928        34.133057       -9.7521305       -39.851734        6.9114509        21.267786
            -36.8              -40               20       -33.181091        16.596758        38.970558       -6.9239302       -21.404297       -5.9718876
              -36              -40               20       -2.5552311       -37.793858        11.229403        31.303185        17.457808         -20.7054
            -35.2              -40               20        29.099554        15.903329       -24.443293         5.600955        27.453075        28.186039
            -34.4              -40               20        -37.88031         43.54068       -1.8474431       -12.902574       -33.582264        28.350769
            -33.6              -40               20       -54.998642        -46.79887        7.5581756        7.3044362       -36.955666       -34.182598
            -32.8              -40               20        42.223625       -68.075043       -17.478979        1.6645758        32.453278       -38.613316
              -32              -40               20        73.633827        35.440971       -1.8643179       -25.961586         38.87429        20.693758
            -31.2              -40               20       -18.409962        63.548534         35.21384       -6.1833143       -17.345848        33.043556
            -30.4              -40               20       -51.654118       -20.600937        12.417822        38.887753       -22.949711       -9.4104719
            -29.6              -40               20        22.728144        -43.25581       -37.124428        24.679117        12.608809       -14.196057
            -28.8              -40               20         38.95715        25.709574       -31.603464       -29.914867        7.2643547        19.170454
              -28              -40               20       -33.198906        39.922707        13.945063       -36.155743       -26.068439        8.5028639
            -27.2              -40               20       -41.642559       -33.073124        30.037989        2.2542667       -17.219734       -35.113232
            -26.4              -40               20        40.452335       -52.047348        5.9018655        17.214987        34.303486       -30.390839
            -25.6              -40               20        71.656792        38.780598       -5.8382649        1.5576677        47.002911        24.802181
            -24.8              -40               20       -13.770661        94.364632        10.357166       0.23424733       -7.5753393        52.280869
              -24              -40               20       -99.572388        22.395151         7.997097        19.535385       -48.687668        18.560469
            -23.2              -40               20       -68.065506        -75.61438       -20.448383        24.190342       -31.731045       -30.631586
            -22.4              -40               20        31.585814       -82.290634       -37.615593       -5.0837564        8.9608221        -36.60638
            -21.6              -40               20        69.153893       -5.4479303       -19.348724       -39.313412        24.989288       -4.0575762
            -20.8              -40               20        19.036083        45.489212        20.926073       -37.587185        6.0623698        11.005884
              -20              -40               20         -32.5425        12.633407        41.769905       -8.0356274       -8.6884174       0.43280268
            -19.2              -40               20       -21.259842       -42.452263         29.21862         22.27063       0.60548198       -13.082725
            -18.4              -40               20        39.694668       -49.651344        3.3225927        33.066093        18.956066       -11.781217
            -17.6              -40               20        80.324852        5.2685318       -15.632763        19.114807         26.77264        10.288608
            -16.8              -40               20         56.01849        76.625595       -17.806749        2.5709949        13.613741        27.758385
              -16              -40               20       -14.142807        100.24132       -7.5488243       -5.1053295       -11.684696        30.820032
            -15.2              -40               20       -84.165985        60.854778     0.0035178214       -2.1919765       -28.348524        18.824413
            -14.4              -40               20       -104.33643       -11.755619       -1.1614795        6.5093966       -30.628506        -4.426549
            -13.6              -40               20       -67.697739       -75.668076        -9.048439        7.7692595       -21.652157       -20.539417
            -12.8              -40               20       -2.1096916       -94.432617       -18.622326        1.4755192       -2.4767256       -25.848494
              -12              -40               20        57.465382       -66.516853       -17.948494       -9.4307346        10.008511       -19.925297
            -11.2              -40               20        79.479919       -17.250448       -11.486332       -19.723976        14.728083       -6.7931476
            -10.4              -40               20        65.166031        33.569649       -3.0375495       -23.179209        14.152274         3.460501
             -9.6              -40               20        28.651899        62.249443        8.4617453        -21.26256        4.2851143        7.2787337
             -8.8              -40               20       -11.825951        63.015724        13.487527       -16.365387       -0.8650291        5.7016449
               -8              -40               20       -40.839825        45.556507        17.619114       -9.8223248       -4.9612665        1.2742517
             -7.2              -40               20        -56.92733        13.760478        19.930595       -3.8258495       -5.6202374       -3.1623142
             -6.4              -40               20       -58.926804       -15.184504        17.208359       0.46480834       -0.7719807       -4.6874661
             -5.6              -40               20       -50.549988       -39.090706        16.086622        5.1558833      -0.65562719        -6.768836
             -4.8              -40               20       -32.594475        -59.56144        12.273916        8.1076374        3.1398411       -7.9895062
               -4              -40               20       -11.236532       -70.001617        9.2879229        7.7022295        4.4356079       -5.8178988
             -3.2              -40               20        5.4577827       -75.648087        6.6271963        7.1539102         4.607471        -4.980947
             -2.4              -40               20        21.123079       -73.764778        3.2817209         5.334702        6.7881169       -3.7205772
             -1.6              -40               20        31.138529       -69.859337        3.0596645        3.2063375        3.4090855         -1.94312
             -0.8              -40               20        37.253345       -67.952705       0.45853782        2.4372702        3.0246809       -1.6468157
                0              -40               20         41.42791       -65.742912                0                0                0                0
              0.8              -40               20        37.253345       -67.952705      -0.45853782       -2.4372702       -3.0246809        1.6468157
              1.6              -40               20        31.138529       -69.859337       -3.0596645       -3.2063375       -3.4090855          1.94312
              2.4              -40               20        21.123079       -73.764778       -3.2817209        -5.334702       -6.7881169        3.7205772
              3.2              -40               20        5.4577827       -75.648087       -6.6271963       -7.1539102        -4.607471         4.980947
                4              -40               20       -11.236532       -70.001617       -9.2879229       -7.7022295       -4.4356079        5.8178988
              4.8              -40               20       -32.594475        -59.56144       -12.273916       -8.1076374       -3.1398411        7.9895062
