           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20       -38.435158       -53.528019       0.28151274        20.796936       -20.557705       -36.311954
            -39.2              -40               20        26.540466       -39.876343       -26.701605       -3.8196614        33.623405       -5.4892325
            -38.4              -40               20        11.573872        32.032356        4.1365514        -28.26981        4.4218884        22.122816
            -37.6              -40               20       -31.942028         9.860939        32.475769         2.385932       -18.926731       -12.556345
            -36.8              -40               20        4.7959371       -28.444027      -0.80462217        29.772493        18.844873       -16.712477
              -36              -40               20        33.370506        19.330173        -29.69561        4.2826414        19.389618        29.282448
            -35.2              -40               20       -25.576799        39.135208        -3.785459       -21.744427        -38.46043        24.735878
            -34.4              -40               20       -51.683403       -41.344429        17.439974       -5.3173723       -35.891602        -38.64201
            -33.6              -40               20        33.333176        -72.79911      -0.14993012        9.4339495        37.692913       -44.705921
            -32.8              -40               20        86.004395        17.690098       -5.9401908       -4.2991176        51.646461        23.049976
              -32              -40               20        8.1761284        81.244247        12.265211       -6.1962538       -10.491891        53.416424
            -31.2              -40               20       -70.644424        27.767403        9.4452591         17.34144       -41.963379        7.6465774
            -30.4              -40               20       -34.861095        -39.19083       -19.206892        20.199152       -11.013275       -33.357517
            -29.6              -40               20        29.115339       -21.461506       -28.448824       -15.701504        17.284397       -12.416132
            -28.8              -40               20        9.0405092        24.517811        2.7485104       -37.478069       0.92828512        15.576018
              -28              -40               20       -37.527355      -0.49491692        34.853031       -10.154474       -18.400627       -5.9194522
            -27.2              -40               20       -7.0332303       -58.417068        25.261734        25.131701        4.0752368       -29.862181
            -26.4              -40               20        65.002472       -38.551968       -9.3961048        26.945511        39.134113       -7.5460272
            -25.6              -40               20        71.647934        54.191368       -23.045401        3.9405236        31.747793         35.57793
            -24.8              -40               20       -14.363685        102.04071       -6.9449801       -12.096381       -18.532383        48.597328
              -24              -40               20       -101.68782        42.423462        5.9488001       -4.3527546       -51.628452        11.337622
            -23.2              -40               20       -88.965363       -57.913578        -1.454092        8.8478022        -34.03561       -36.878254
            -22.4              -40               20        1.2221527        -98.37056       -14.193577        2.3384111        6.3924112       -43.961037
            -21.6              -40               20        66.821243       -51.955894       -13.692833        -17.09988        32.370396       -13.045292
            -20.8              -40               20        56.613525        19.028337        5.7607985        -25.24667        23.294777        14.956503
              -20              -40               20        3.4047747        35.694149        26.514013       -13.105715       -4.1231794        16.572815
            -19.2              -40               20       -25.023241       -4.3870587        27.613874        10.237683       -12.821735       -1.3090191
            -18.4              -40               20        6.9195929       -43.079594        11.609197         27.55924        1.2806768       -17.971163
            -17.6              -40               20        67.361618       -33.645283       -8.7912178        25.235647        20.281588       -12.226015
            -16.8              -40               20        95.307175        29.668127       -21.541853        9.6914577        28.680809        11.956209
              -16              -40               20        62.944294        104.14468       -18.593697       -4.6797919        16.023449        31.412357
            -15.2              -40               20       -15.855412        136.24669       -6.7124476       -12.750912       -9.4201918        36.866318
            -14.4              -40               20       -100.86735         109.0573        2.4760375       -10.603013       -29.611055        24.717081
            -13.6              -40               20        -146.7489        36.595051        6.4560113        -1.607172       -37.470539       0.77146339
            -12.8              -40               20        -139.7276       -49.256847        4.6500444        4.9820695       -31.659454       -17.776897
              -12              -40               20       -91.406258       -111.10493       -2.9091482        7.6700802       -14.467763       -27.831793
            -11.2              -40               20       -22.444775       -131.39499       -9.4653053        4.7639661        1.6138792       -28.138779
            -10.4              -40               20        37.749886       -114.84906       -11.993919       -1.9195869        11.396581        -19.25115
             -9.6              -40               20        76.487968       -74.094429       -11.914462       -7.1002135        17.608625       -10.724973
             -8.8              -40               20        91.937515       -26.560055       -7.3471212       -12.386591        15.588623       -2.1505651
               -8              -40               20        81.462227         13.10173       -1.9153895       -15.348195         10.39166        4.9664903
             -7.2              -40               20         57.67297        41.626122        1.6355696       -14.085922        7.6205578        6.9070539
             -6.4              -40               20        29.496346        56.308434        6.3681479       -12.673021        1.5989987        7.3402157
             -5.6              -40               20        1.1618706        56.332027        8.7350378       -9.9880953       -1.6308086        4.6950808
             -4.8              -40               20       -18.072266        48.917179        8.4771481       -6.8317266       -1.6766678        1.4997842
               -4              -40               20       -32.238377        36.756039        9.1077862       -5.2730904       -4.1578994       0.85508674
             -3.2              -40               20       -42.937508        23.042725        7.6639109       -3.3567495       -2.1958985       -1.2044353
             -2.4              -40               20       -47.336445        13.383858        5.7747378       -2.4751568      -0.75153774       -1.5009679
             -1.6              -40               20       -51.088737        5.1837506         4.634551       -1.6862192       -2.1229405       -1.0539219
             -0.8              -40               20       -50.406845       -1.0212048        1.7487648       0.35684788       0.38062146       -2.6730251
                0              -40               20       -47.250683        -2.666935                0                0                0                0
              0.8              -40               20       -50.406845       -1.0212048       -1.7487648      -0.35684788      -0.38062146        2.6730251
              1.6              -40               20       -51.088737        5.1837506        -4.634551        1.6862192        2.1229405        1.0539219
              2.4              -40               20       -47.336445        13.383858       -5.7747378        2.4751568       0.75153774        1.5009679
              3.2              -40               20       -42.937508        23.042725       -7.6639109        3.3567495        2.1958985        1.2044353
                4              -40               20       -32.238377        36.756039       -9.1077862        5.2730904        4.1578994      -0.85508674
              4.8              -40               20       -18.072266        48.917179       -8.4771481        6.8317266        1.6766678       -1.4997842
              5.6              -40               20        1.1618706        56.332027       -8.7350378        9.9880953        1.6308086       -4.6950808
              6.4              -40               20        29.496346        56.308434       -6.3681479        12.673021       -1.5989987       -7.3402157
              7.2              -40               20         57.67297        41.626122       -1.6355696        14.085922       -7.6205578       -6.9070539
                8              -40               20        81.462227         13.10173        1.9153895        15.348195        -10.39166       -4.9664903
              8.8              -40               20        91.937515       -26.560055        7.3471212        12.386591       -15.588623        2.1505651
              9.6              -40               20        76.487968       -74.094429        11.914462        7.1002135       -17.608625        10.724973
