           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20       -14.217976        33.309551        34.875797       -4.0931072       -6.1313591         19.68984
            -39.2              -40               20       -17.638836      -0.46548748        16.274714        35.299423       -5.1900024       -12.392338
            -38.4              -40               20        28.759104        -6.105967       -27.311131        33.450386        15.791839       -4.7582178
            -37.6              -40               20        34.510914        35.180866       -41.292847       -9.6485004        1.5000529        32.807022
            -36.8              -40               20       -32.136658        47.031723       -11.607194       -39.527546       -41.129375        30.180609
              -36              -40               20        -80.79171       -14.657775        23.376675       -25.121513       -48.509007       -27.140295
            -35.2              -40               20       -31.051266       -85.689804        28.629902        7.0707016          4.24545       -70.145966
            -34.4              -40               20        69.693001       -73.759666        10.303611        17.819538        64.083305       -38.391701
            -33.6              -40               20        103.96262        18.965004       -2.7745128        6.2277732        63.728378        37.243774
            -32.8              -40               20        34.249245        94.366821       0.35528827        0.8031528        3.6774759        72.685677
              -32              -40               20        -57.17448        76.442795        3.4307079         13.12874       -49.979675        36.905006
            -31.2              -40               20       -78.019928       -1.5624962       -9.0906181        22.441061       -47.449909        -17.37714
            -30.4              -40               20       -30.469282       -48.945736        -28.29508         8.831768       -8.4381504       -33.156853
            -29.6              -40               20        15.514509       -29.116106       -31.518896       -19.860186        15.615243       -12.932226
            -28.8              -40               20        12.532878        10.844414       -8.7834406       -39.806839        3.6067817        5.4175744
              -28              -40               20       -22.596298         8.704793        24.777935       -34.643051       -19.194693       -1.8835659
            -27.2              -40               20       -36.095016       -38.529083            42.34       -7.3186908       -14.893649       -25.542919
            -26.4              -40               20        4.2713709       -75.987953         32.64286        23.061131        20.531551       -36.712193
            -25.6              -40               20        73.306877       -54.513264         7.585804        35.942768        52.834755        -15.68398
            -24.8              -40               20        108.13862        19.322275       -14.117391        26.030472        50.125156        27.066879
              -24              -40               20        70.452484        95.203995       -22.498213         6.395793        14.689295        59.303669
            -23.2              -40               20        -17.68047        121.89467       -16.978373         -6.03193       -28.620996        56.010979
            -22.4              -40               20       -96.822273        79.914253       -4.8559294       -5.7932978       -55.302788         20.17156
            -21.6              -40               20       -119.23445       -6.1525455        1.1958947       0.26880074       -51.693222       -21.974422
            -20.8              -40               20        -78.03804       -82.143959       -4.9705415        3.1848848       -22.554493       -44.599495
              -20              -40               20       -3.3239841        -104.9404       -15.073258      -0.43189359        10.893515       -41.051662
            -19.2              -40               20        60.902061       -71.524597       -17.381836       -10.061287        29.322451       -19.416834
            -18.4              -40               20        80.715416        -9.891264       -9.2412519       -22.358879        27.629328        6.8169413
            -17.6              -40               20        51.848793        44.051609        5.0865693       -28.835203        11.876297        20.539103
            -16.8              -40               20       0.55324554        62.242294        20.654104       -23.431356       -7.2813826        13.911887
              -16              -40               20       -40.663788         37.15469        31.771648       -10.085938       -18.452166       -2.1616802
            -15.2              -40               20       -53.763901       -12.562052        33.194633        5.3544159       -13.777578       -15.613584
            -14.4              -40               20       -33.716114       -56.449444        26.000994         20.10111        3.6764941       -23.971798
            -13.6              -40               20        12.855516       -74.707695        15.378807        29.205305        22.213715       -22.834127
            -12.8              -40               20         64.72683         -62.4921        3.5403881        30.285082        33.852505       -8.4348345
              -12              -40               20        99.684937       -24.173599       -7.4890084         27.81616        35.777618        11.674374
            -11.2              -40               20        110.13001        27.153563       -15.079351        23.892246        28.135216        27.655869
            -10.4              -40               20        98.701027        76.765503       -20.290842        17.115396        15.341938        36.286686
             -9.6              -40               20        69.619476        115.89308       -23.154242        9.2415075      -0.04068768        38.114269
             -8.8              -40               20        28.896296        138.95294       -22.577938        2.4297028       -14.872326         34.80468
               -8              -40               20       -14.928211        145.85213       -21.034657       -3.1429682       -22.356323        27.050251
             -7.2              -40               20       -54.106865         142.5217       -18.818338       -7.3787851        -24.34552        17.081347
             -6.4              -40               20       -86.356895        131.34926       -14.278365        -10.14256       -26.134441        9.1652822
             -5.6              -40               20       -112.36127         113.2226       -9.7597675       -11.226506        -24.82118        3.1631062
             -4.8              -40               20       -131.17151        92.517601       -6.7188063       -10.935916       -20.747499       -1.6034726
               -4              -40               20       -144.04416        71.852455       -3.9375031       -9.7311211        -18.19548       -3.1739166
             -3.2              -40               20       -152.79216        52.351467       -2.0860164       -7.4138169        -14.74199       -4.1121621
             -2.4              -40               20        -155.4903        36.780674       -1.6167415       -4.9595771       -9.2863226       -5.8195047
             -1.6              -40               20       -154.82825         26.25173      -0.92428851       -3.6859417       -6.0598831       -3.6958086
             -0.8              -40               20       -157.14317        19.866951     0.0059568365       -2.4849565       -4.2158275       0.25712922
                0              -40               20       -159.56648        17.603214                0                0                0                0
              0.8              -40               20       -157.14317        19.866951    -0.0059568365        2.4849565        4.2158275      -0.25712922
              1.6              -40               20       -154.82825         26.25173       0.92428851        3.6859417        6.0598831        3.6958086
              2.4              -40               20        -155.4903        36.780674        1.6167415        4.9595771        9.2863226        5.8195047
              3.2              -40               20       -152.79216        52.351467        2.0860164        7.4138169         14.74199        4.1121621
                4              -40               20       -144.04416        71.852455        3.9375031        9.7311211         18.19548        3.1739166
              4.8              -40               20       -131.17151        92.517601        6.7188063        10.935916        20.747499        1.6034726
              5.6              -40               20       -112.36127         113.2226        9.7597675        11.226506         24.82118       -3.1631062
              6.4              -40               20       -86.356895        131.34926        14.278365         10.14256        26.134441       -9.1652822
              7.2              -40               20       -54.106865         142.5217        18.818338        7.3787851         24.34552       -17.081347
                8              -40               20       -14.928211        145.85213        21.034657        3.1429682        22.356323       -27.050251
              8.8              -40               20        28.896296        138.95294        22.577938       -2.4297028        14.872326        -34.80468
              9.6              -40               20        69.619476        115.89308        23.154242       -9.2415075       0.04068768       -38.114269
             10.4              -40               20        98.701027        76.765503        20.290842       -17.115396       -15.341938       -36.286686
             11.2              -40               20        110.13001        27.153563        15.079351       -23.892246       -28.135216       -27.655869
               12              -40               20        99.684937       -24.173599        7.4890084        -27.81616       -35.777618       -11.674374
             12.8              -40               20         64.72683         -62.4921       -3.5403881       -30.285082       -33.852505        8.4348345
             13.6              -40               20        12.855516       -74.707695       -15.378807       -29.205305       -22.213715        22.834127
             14.4              -40               20       -33.716114       -56.449444       -26.000994        -20.10111       -3.6764941        23.971798
             15.2              -40               20       -53.763901       -12.562052       -33.194633       -5.3544159        13.777578        15.613584
               16              -40               20       -40.663788         37.15469       -31.771648        10.085938        18.452166        2.1616802
             16.8              -40               20       0.55324554        62.242294       -20.654104        23.431356        7.2813826       -13.911887
             17.6              -40               20        51.848793        44.051609       -5.0865693        28.835203       -11.876297       -20.539103
             18.4              -40               20        80.715416        -9.891264        9.2412519        22.358879       -27.629328       -6.8169413
             19.2              -40               20        60.902061       -71.524597        17.381836        10.061287       -29.322451        19.416834
               20              -40               20       -3.3239841        -104.9404        15.073258       0.43189359       -10.893515        41.051662
             20.8              -40               20        -78.03804       -82.143959        4.9705415       -3.1848848        22.554493        44.599495
             21.6              -40               20       -119.23445       -6.1525455       -1.1958947      -0.26880074        51.693222        21.974422
