           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20       -48.597286       -6.6799393        11.593952         21.85523       -27.309898       -2.5105572
            -39.2              -40               20       -13.901423       -30.162209       -25.563759        16.945217        6.6603084       -15.357133
            -38.4              -40               20        13.200926        10.882773       -29.030327       -22.910662        11.786051        3.6528285
            -37.6              -40               20       -18.026245         29.42304        13.661917       -38.227367       -19.477083        3.4055643
            -36.8              -40               20        -37.42696       -26.116817        40.564793       -4.1204638       -22.161489       -27.411768
              -36              -40               20        18.134027       -67.824509        14.943559        31.864428        25.284067       -34.718983
            -35.2              -40               20        83.332611       -10.869901       -21.374352        23.909218        55.719147        10.971725
            -34.4              -40               20         53.52153        81.884682       -18.675091         -8.00459        16.009884        57.217648
            -33.6              -40               20       -50.715084        85.217926         7.673409       -15.747452       -47.003025         41.50795
            -32.8              -40               20       -103.69704       -9.0081387        12.390233        5.3890076       -55.492825       -18.724871
              -32              -40               20       -45.013199       -87.614571       -10.049599        17.599079       -6.5680923       -51.154472
            -31.2              -40               20        44.801994       -68.637177       -24.929167       -1.5008004        34.405571       -23.325121
            -30.4              -40               20        59.978374        5.3947506       -9.1679344       -27.929659        24.216955         19.06374
            -29.6              -40               20        6.4811482        37.828369         20.99762       -25.403902       -9.9349346        17.691536
            -28.8              -40               20       -22.348316        1.3046846        32.647728        5.3320398       -15.681107       -18.308697
              -28              -40               20        19.132885        -37.55088        14.026516         29.65522        14.958233       -30.120106
            -27.2              -40               20         73.01358       -9.8777809        -15.03298        24.983021        40.797363        5.0998869
            -26.4              -40               20        62.482704        67.306427       -26.994255        2.3900242        26.036747        48.305027
            -25.6              -40               20        -18.63382         111.7596       -14.162645       -15.251131       -21.805635        53.507633
            -24.8              -40               20       -105.31336        68.433472        5.8045921       -16.250687        -59.23996        14.720866
              -24              -40               20       -125.22787       -32.443195        12.081743       -4.5150256       -50.366776        -35.73447
            -23.2              -40               20       -60.681252       -109.33768        3.5247087        6.6458244       -4.8804002       -58.093586
            -22.4              -40               20        36.470695       -109.57155       -6.1548715        5.8530531        35.874496        -38.78183
            -21.6              -40               20        94.407524       -45.218441       -7.6220331       -5.4908276        45.336395        1.3134241
            -20.8              -40               20        82.738457        32.018837       0.13220167       -14.735337        25.991179         29.85154
              -20              -40               20        25.484871        70.222832        13.283389       -11.688727       -4.6177588        30.656414
            -19.2              -40               20       -30.535942        50.737328        22.135185        1.6261842        -23.70344        11.884915
            -18.4              -40               20       -50.543701       0.19570291        18.308224        16.387098       -18.481237       -8.2454891
            -17.6              -40               20       -27.071478       -38.725605        4.3951616        26.101976       0.94675493       -18.536009
            -16.8              -40               20        21.427137       -43.053432       -11.952522        26.395948        17.210308       -14.209365
              -16              -40               20        60.979122       -12.069365       -25.260746        15.763017        22.991535        4.5776501
            -15.2              -40               20        64.317619        39.851624       -30.287996       0.14342129        16.254671        25.173347
            -14.4              -40               20        29.449131        85.335556       -25.428722       -13.401278        -1.670393        33.203941
            -13.6              -40               20       -27.502413        101.03107       -16.045752       -23.175714       -22.213074        28.679127
            -12.8              -40               20       -86.973503        82.319382       -6.4264436       -27.169544       -36.910904        15.836843
              -12              -40               20       -128.99557        35.962814        3.0120761       -24.281725       -42.257912       -4.2572684
            -11.2              -40               20       -140.41879       -25.446012         10.03388       -19.772022        -36.82711       -24.531757
            -10.4              -40               20       -123.58801       -83.524406        13.262339       -17.197411       -23.490797       -37.196468
             -9.6              -40               20       -88.169907       -125.22778         15.11862       -14.236215       -7.8827448       -42.748871
             -8.8              -40               20       -42.202744       -148.61182        16.833866       -10.374282        7.2154789       -42.494293
               -8              -40               20        4.7669182       -154.78474        17.913214       -7.5123749        19.341991       -35.334492
             -7.2              -40               20        43.806541       -146.06404        18.279785       -5.2327609        26.468422       -24.920197
             -6.4              -40               20        74.228188       -128.24222        17.664904       -2.2389009        29.598154       -16.723907
             -5.6              -40               20        98.382629       -107.05916        16.357866       0.67023242        28.887497       -9.3702936
             -4.8              -40               20        114.24512       -85.408867        14.470531        2.4066982        25.121189       -1.3381743
               -4              -40               20        122.44067       -64.709274        11.560746        3.4475043        21.192791        2.8020105
             -3.2              -40               20        127.53637       -47.124165        8.9168854        3.7519362         16.34915        3.5326087
             -2.4              -40               20        129.19908       -34.410805        7.0524058         3.017766        10.426259        5.1278596
             -1.6              -40               20        127.98166       -24.689306        4.0785475        2.3937175        7.4870911         4.472929
             -0.8              -40               20        129.21997       -16.124781       0.92246312        1.7972484        5.6978583        1.0315179
                0              -40               20        131.11165       -12.197514                0                0                0                0
              0.8              -40               20        129.21997       -16.124781      -0.92246312       -1.7972484       -5.6978583       -1.0315179
              1.6              -40               20        127.98166       -24.689306       -4.0785475       -2.3937175       -7.4870911        -4.472929
              2.4              -40               20        129.19908       -34.410805       -7.0524058        -3.017766       -10.426259       -5.1278596
              3.2              -40               20        127.53637       -47.124165       -8.9168854       -3.7519362        -16.34915       -3.5326087
                4              -40               20        122.44067       -64.709274       -11.560746       -3.4475043       -21.192791       -2.8020105
              4.8              -40               20        114.24512       -85.408867       -14.470531       -2.4066982       -25.121189        1.3381743
              5.6              -40               20        98.382629       -107.05916       -16.357866      -0.67023242       -28.887497        9.3702936
              6.4              -40               20        74.228188       -128.24222       -17.664904        2.2389009       -29.598154        16.723907
              7.2              -40               20        43.806541       -146.06404       -18.279785        5.2327609       -26.468422        24.920197
                8              -40               20        4.7669182       -154.78474       -17.913214        7.5123749       -19.341991        35.334492
              8.8              -40               20       -42.202744       -148.61182       -16.833866        10.374282       -7.2154789        42.494293
              9.6              -40               20       -88.169907       -125.22778        -15.11862        14.236215        7.8827448        42.748871
             10.4              -40               20       -123.58801       -83.524406       -13.262339        17.197411        23.490797        37.196468
             11.2              -40               20       -140.41879       -25.446012        -10.03388        19.772022         36.82711        24.531757
               12              -40               20       -128.99557        35.962814       -3.0120761        24.281725        42.257912        4.2572684
             12.8              -40               20       -86.973503        82.319382        6.4264436        27.169544        36.910904       -15.836843
             13.6              -40               20       -27.502413        101.03107        16.045752        23.175714        22.213074       -28.679127
             14.4              -40               20        29.449131        85.335556        25.428722        13.401278         1.670393       -33.203941
             15.2              -40               20        64.317619        39.851624        30.287996      -0.14342129       -16.254671       -25.173347
               16              -40               20        60.979122       -12.069365        25.260746       -15.763017       -22.991535       -4.5776501
             16.8              -40               20        21.427137       -43.053432        11.952522       -26.395948       -17.210308        14.209365
             17.6              -40               20       -27.071478       -38.725605       -4.3951616       -26.101976      -0.94675493        18.536009
             18.4              -40               20       -50.543701       0.19570291       -18.308224       -16.387098        18.481237        8.2454891
             19.2              -40               20       -30.535942        50.737328       -22.135185       -1.6261842         23.70344       -11.884915
               20              -40               20        25.484871        70.222832       -13.283389        11.688727        4.6177588       -30.656414
             20.8              -40               20        82.738457        32.018837      -0.13220167        14.735337       -25.991179        -29.85154
             21.6              -40               20        94.407524       -45.218441        7.6220331        5.4908276       -45.336395       -1.3134241
