           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20        63.808102       -8.4342537       -20.673723       -8.4214935        38.505772       -5.8041945
            -39.2              -40               20        15.551989        44.563465        18.963337        -22.49358       -6.2580914         34.03022
            -38.4              -40               20       -43.676754       -12.299431        23.139399        25.327551       -23.607719       -3.0834079
            -37.6              -40               20        13.724216       -42.700378       -29.211927        28.243885        15.750172       -14.996404
            -36.8              -40               20         32.31588        24.071815       -26.347054        -29.02384        7.1385632        20.268131
              -36              -40               20       -34.740982        27.396894        23.704967       -27.285486       -27.494677     -0.020093441
            -35.2              -40               20       -15.566716       -37.294601        19.726709        20.245827        4.2447839       -37.693974
            -34.4              -40               20        57.673397       -8.5087795       -14.121826        13.703551        40.753006        3.5955911
            -33.6              -40               20        12.430521        67.523018       -4.8728757       -14.869269        1.5518689        48.890942
            -32.8              -40               20       -75.440376         27.52198        14.995838        3.0924711       -46.159996        7.3694696
              -32              -40               20       -35.453995       -69.485405       -7.3311663        21.486095       -18.119579       -44.398289
            -31.2              -40               20        56.013763       -48.628227       -27.464008       -10.597206        32.703953       -16.584723
            -30.4              -40               20        37.055157        40.198135        5.9498639       -34.075203        18.557787        24.750477
            -29.6              -40               20       -35.049652        30.809059        39.032848       -1.6391988       -17.705233        7.5254412
            -28.8              -40               20       -21.130905       -36.485989        12.886573         35.05022       -2.5482287       -18.724382
              -28              -40               20        43.876095       -18.407808       -29.111053        22.511766        26.474083        1.0460558
            -27.2              -40               20        27.954218        53.430408       -24.350466       -14.853055        3.6650643        34.446404
            -26.4              -40               20       -58.480251          43.4575        6.3579359       -21.737051       -39.147575        18.545406
            -25.6              -40               20       -72.539803       -52.124416        13.765781        1.9351841       -34.560329       -33.449978
            -24.8              -40               20        22.880335       -102.49004        -3.680793        10.740099        13.626078       -47.563217
              -24              -40               20        105.98579       -31.216843        -13.68042       -7.7599578        48.887989       -6.9923286
            -23.2              -40               20        79.327888        79.528717        4.6925135       -20.462593        29.763439        32.690758
            -22.4              -40               20       -15.860518        100.39124        26.774786        -5.521359       -13.854119        32.179276
            -21.6              -40               20       -72.384071        31.262283        20.024992         21.41267       -26.863926        6.4374437
            -20.8              -40               20       -43.796535       -32.498646       -7.6937695        32.918369       -10.371772       -14.469343
              -20              -40               20        15.636336        -29.28565        -31.08009        13.135558        7.9083385       -8.4117537
            -19.2              -40               20        23.899778        25.055368       -29.652346       -18.498322        7.7255616        11.335505
            -18.4              -40               20       -27.834778        55.820465       -4.8372059       -31.367481       -10.071978        13.545873
            -17.6              -40               20       -84.065964        19.449629        19.528589       -23.406599       -23.264746       0.31201267
            -16.8              -40               20       -90.712967       -57.050209        27.125488       -1.7346191       -19.592381       -20.216885
              -16              -40               20       -30.357002        -119.2199        17.329281        16.515614      -0.54225254       -32.708412
            -15.2              -40               20         55.80624       -119.40144       0.99459302        17.402369        22.040379        -22.87664
            -14.4              -40               20        116.34461       -57.642941       -9.0316572        10.696104        33.671341       -5.5785637
            -13.6              -40               20        126.82001         23.90678       -8.5726366        1.3208807        28.148151        14.442262
            -12.8              -40               20        83.758751        85.396568       -2.8949201       -4.4236975        11.927166        28.294182
              -12              -40               20        20.728045        105.80343        1.9470421       -1.4498259       -3.6481826        24.970224
            -11.2              -40               20        -32.14233        88.060608        4.6042881         1.536656         -15.3283         17.65097
            -10.4              -40               20       -65.081787        50.721054        3.2399194        5.0810518        -18.03393        7.2234302
             -9.6              -40               20       -68.269379        11.158216       0.37258884        8.6249104       -14.258932       -3.5568528
             -8.8              -40               20       -51.728622       -20.353138        -2.449384        8.8373604       -10.444579       -6.9539099
               -8              -40               20       -25.565962       -37.402035       -7.0063639        9.1864061       -4.2944307       -8.9494629
             -7.2              -40               20        3.0555792       -38.840813       -9.6405401        6.3736558       -0.6455971       -6.8892374
             -6.4              -40               20         21.38265       -27.446629       -11.371699        1.7084986        1.5931311       -3.4427624
             -5.6              -40               20        34.346592       -8.3373222       -11.865692       0.10842463        3.4711092       -3.8602042
             -4.8              -40               20        41.636562        9.0613194       -9.2015448       -2.2300346        1.4719706       -1.2216179
               -4              -40               20        38.666199        24.112219        -7.935534       -4.3679528        1.9688867         1.476802
             -3.2              -40               20        33.036232        37.537842       -5.9780416        -3.709727        1.2059767        1.4309313
             -2.4              -40               20        25.617434        44.996334       -3.8000033       -3.0303974      -0.64792979        2.7301874
             -1.6              -40               20        18.592577        50.631016        -3.313272       -2.1381443       0.44826734        2.3122725
             -0.8              -40               20         15.93307         53.26395       -1.0023775      -0.55941325      -0.91131914      0.068121135
                0              -40               20        15.391361        52.385635                0                0                0                0
              0.8              -40               20         15.93307         53.26395        1.0023775       0.55941325       0.91131914     -0.068121135
              1.6              -40               20        18.592577        50.631016         3.313272        2.1381443      -0.44826734       -2.3122725
              2.4              -40               20        25.617434        44.996334        3.8000033        3.0303974       0.64792979       -2.7301874
              3.2              -40               20        33.036232        37.537842        5.9780416         3.709727       -1.2059767       -1.4309313
                4              -40               20        38.666199        24.112219         7.935534        4.3679528       -1.9688867        -1.476802
              4.8              -40               20        41.636562        9.0613194        9.2015448        2.2300346       -1.4719706        1.2216179
              5.6              -40               20        34.346592       -8.3373222        11.865692      -0.10842463       -3.4711092        3.8602042
              6.4              -40               20         21.38265       -27.446629        11.371699       -1.7084986       -1.5931311        3.4427624
              7.2              -40               20        3.0555792       -38.840813        9.6405401       -6.3736558        0.6455971        6.8892374
                8              -40               20       -25.565962       -37.402035        7.0063639       -9.1864061        4.2944307        8.9494629
              8.8              -40               20       -51.728622       -20.353138         2.449384       -8.8373604        10.444579        6.9539099
              9.6              -40               20       -68.269379        11.158216      -0.37258884       -8.6249104        14.258932        3.5568528
             10.4              -40               20       -65.081787        50.721054       -3.2399194       -5.0810518         18.03393       -7.2234302
             11.2              -40               20        -32.14233        88.060608       -4.6042881        -1.536656          15.3283        -17.65097
               12              -40               20        20.728045        105.80343       -1.9470421        1.4498259        3.6481826       -24.970224
             12.8              -40               20        83.758751        85.396568        2.8949201        4.4236975       -11.927166       -28.294182
             13.6              -40               20        126.82001         23.90678        8.5726366       -1.3208807       -28.148151       -14.442262
             14.4              -40               20        116.34461       -57.642941        9.0316572       -10.696104       -33.671341        5.5785637
             15.2              -40               20         55.80624       -119.40144      -0.99459302       -17.402369       -22.040379         22.87664
               16              -40               20       -30.357002        -119.2199       -17.329281       -16.515614       0.54225254        32.708412
             16.8              -40               20       -90.712967       -57.050209       -27.125488        1.7346191        19.592381        20.216885
             17.6              -40               20       -84.065964        19.449629       -19.528589        23.406599        23.264746      -0.31201267
             18.4              -40               20       -27.834778        55.820465        4.8372059        31.367481        10.071978       -13.545873
             19.2              -40               20        23.899778        25.055368        29.652346        18.498322       -7.7255616       -11.335505
               20              -40               20        15.636336        -29.28565         31.08009       -13.135558       -7.9083385        8.4117537
             20.8              -40               20       -43.796535       -32.498646        7.6937695       -32.918369        10.371772        14.469343
             21.6              -40               20       -72.384071        31.262283       -20.024992        -21.41267        26.863926       -6.4374437
             22.4              -40               20       -15.860518        100.39124       -26.774786         5.521359        13.854119       -32.179276
             23.2              -40               20        79.327888        79.528717       -4.6925135        20.462593       -29.763439       -32.690758
               24              -40               20        105.98579       -31.216843         13.68042        7.7599578       -48.887989        6.9923286
             24.8              -40               20        22.880335       -102.49004         3.680793       -10.740099       -13.626078        47.563217
             25.6              -40               20       -72.539803       -52.124416       -13.765781       -1.9351841        34.560329        33.449978
             26.4              -40               20       -58.480251          43.4575       -6.3579359        21.737051        39.147575       -18.545406
             27.2              -40               20        27.954218        53.430408        24.350466        14.853055       -3.6650643       -34.446404
               28              -40               20        43.876095       -18.407808        29.111053       -22.511766       -26.474083       -1.0460558
             28.8              -40               20       -21.130905       -36.485989       -12.886573        -35.05022        2.5482287        18.724382
             29.6              -40               20       -35.049652        30.809059       -39.032848        1.6391988        17.705233       -7.5254412
             30.4              -40               20        37.055157        40.198135       -5.9498639        34.075203       -18.557787       -24.750477
             31.2              -40               20        56.013763       -48.628227        27.464008        10.597206       -32.703953        16.584723
               32              -40               20       -35.453995       -69.485405        7.3311663       -21.486095        18.119579        44.398289
             32.8              -40               20       -75.440376         27.52198       -14.995838       -3.0924711        46.159996       -7.3694696
             33.6              -40               20        12.430521        67.523018        4.8728757        14.869269       -1.5518689       -48.890942
             34.4              -40               20        57.673397       -8.5087795        14.121826       -13.703551       -40.753006       -3.5955911
             35.2              -40               20       -15.566716       -37.294601       -19.726709       -20.245827       -4.2447839        37.693974
               36              -40               20       -34.740982        27.396894       -23.704967        27.285486        27.494677      0.020093441
             36.8              -40               20         32.31588        24.071815        26.347054         29.02384       -7.1385632       -20.268131
             37.6              -40               20        13.724216       -42.700378        29.211927       -28.243885       -15.750172        14.996404
             38.4              -40               20       -43.676754       -12.299431       -23.139399       -25.327551        23.607719        3.0834079
             39.2              -40               20        15.551989        44.563465       -18.963337         22.49358        6.2580914        -34.03022
               40              -40               20        63.808102       -8.4342537        20.673723        8.4214935       -38.505772        5.8041945
              -40            -39.2               20       -12.305704        53.998077        13.689005        -23.12221       -8.0601473        32.319782
            -39.2            -39.2               20       -41.464371       -13.816823        26.032934        22.402205       -26.522627       -19.762594
