           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20       -35.108597        56.989941         14.89447       -9.9141111       -25.212469        27.644718
            -39.2              -40               20       -48.057251       -3.3687801        5.6385827         24.08783       -14.575884       -23.873722
            -38.4              -40               20        18.399855       -18.958738       -27.760677        5.9247065        11.844458       -11.964887
            -37.6              -40               20         17.35128        20.308294       -9.3733816       -35.855618        -7.833684        14.842908
            -36.8              -40               20       -31.950455      -0.19812107        33.120003       -15.113909       -19.021145       -11.624184
              -36              -40               20      -0.36189747       -48.319435        21.104063        32.491795        20.243132       -28.194632
            -35.2              -40               20        59.071239       -7.1559019       -23.092958        23.272091        39.782776        18.693712
            -34.4              -40               20        13.577741        69.947914       -24.157103       -17.154089       -9.3822079        50.839146
            -33.6              -40               20       -76.585144         38.47171        8.5641584        -17.74888       -54.693226        3.2845268
            -32.8              -40               20       -60.325592        -65.39904        12.631477        6.6121178       -22.232021       -52.311436
              -32              -40               20        38.859608       -76.521324       -7.9990673        3.2052441        40.527821       -33.061275
            -31.2              -40               20        71.744324        15.872209       -1.8636773       -14.789122        41.934662        21.585199
            -30.4              -40               20        10.505694          59.6455        23.732773        -3.525373        -8.467165        31.802364
            -29.6              -40               20        -32.13435        4.4067187        16.663908        27.176336        -27.58803       0.91987658
            -28.8              -40               20        4.1203899       -35.514442        -23.00754        30.768677        2.9890127       -13.539146
              -28              -40               20        41.645878        11.688605       -41.073605       -5.7886877        18.926367        9.1487446
            -27.2              -40               20       -3.7168112        64.594826       -13.880277       -39.906586       -12.351608        26.155626
            -26.4              -40               20       -78.382988        27.636993        23.256758       -30.686951       -40.447792       -2.4527903
            -25.6              -40               20       -67.247009       -66.583069        32.087429        4.5809212       -18.781786       -45.609688
            -24.8              -40               20        31.629803       -102.88699        12.022356        21.785236         31.62265       -44.018314
              -24              -40               20        109.88751       -29.769556       -9.3407745        11.935175        57.395947        4.1637869
            -23.2              -40               20        87.616623        78.350609       -7.7075081       -2.2995009        29.136585        47.296085
            -22.4              -40               20       -8.6325397        110.56601        7.4285536       -3.0616391       -22.298599        46.354683
            -21.6              -40               20       -85.736633        51.355034        10.035779         8.339818       -42.017262        11.026555
            -20.8              -40               20       -81.066467       -25.870798       -2.9245474        18.596083       -23.579582        -22.96089
              -20              -40               20       -18.211163       -56.478729       -18.742317        14.043699        3.7907424       -27.248913
            -19.2              -40               20         29.71627       -26.952267       -25.753967       -4.8789134        17.825752       -3.2937977
            -18.4              -40               20        19.091143        23.314817        -15.50397       -21.627918        7.8714309        16.749857
            -17.6              -40               20       -30.645678        35.025349        4.3135476       -24.953398       -14.278498         14.17961
            -16.8              -40               20       -71.616386       -6.7706165        17.811321       -15.705969       -25.521822       -1.6662426
              -16              -40               20       -66.604042       -71.194237        20.183708        1.1283741       -19.165396        -21.98741
            -15.2              -40               20       -9.5808859       -118.26469        12.376222        13.185895      -0.49736702       -33.487919
            -14.4              -40               20        68.402222       -115.65343      -0.73342109        13.120531        20.236834       -27.006153
            -13.6              -40               20        130.28416       -62.858192       -9.0631371        7.1029096         32.04541       -13.198366
            -12.8              -40               20        153.83673        12.342113       -9.0602131        -1.598958        32.320599        4.4306474
              -12              -40               20        128.71416        84.522034       -4.3080883       -9.2219791        23.944189        22.404922
            -11.2              -40               20        70.566124        133.02069        2.3277531       -9.3776808        11.017943        27.606319
            -10.4              -40               20         6.562068        145.35875        8.3078671        -5.975019       -2.6347101        24.887348
             -9.6              -40               20       -50.629841        126.79089        10.986395       -1.8008806       -12.795311        20.256071
             -8.8              -40               20       -89.143555        89.491364        10.178641        4.3674154       -16.313374        10.084773
               -8              -40               20       -103.29424        45.432667        7.6947279         7.761097       -16.155062        2.0104144
             -7.2              -40               20       -102.35062        5.6212254        4.5919256        8.4118042       -13.688545       -1.9224213
             -6.4              -40               20       -89.455986       -24.619423        1.4684392        9.5890045       -8.4170399       -6.5016923
             -5.6              -40               20       -67.883163       -44.659367      -0.89616489          9.03407       -4.7353182       -7.4721804
             -4.8              -40               20       -46.225433       -55.403473       -2.7208583        7.1929426       -2.1418023       -6.5190125
               -4              -40               20       -26.335152       -58.916355       -3.3097615        5.4504628       0.69513667        -5.985786
             -3.2              -40               20       -12.197463       -57.812389       -2.6870174        3.1316235        1.1341232       -2.7393465
             -2.4              -40               20       -4.6465254       -53.527756       -2.8762765        2.0738075        2.0709052       -1.4721711
             -1.6              -40               20         2.787261       -48.418526       -2.2253473        1.6760333        2.3219006       -2.1474574
             -0.8              -40               20        7.1181006       -46.668564      -0.11588386       0.37996569      -0.26976353      -0.42087799
                0              -40               20        7.1554203       -47.134193                0                0                0                0
              0.8              -40               20        7.1181006       -46.668564       0.11588386      -0.37996569       0.26976353       0.42087799
              1.6              -40               20         2.787261       -48.418526        2.2253473       -1.6760333       -2.3219006        2.1474574
              2.4              -40               20       -4.6465254       -53.527756        2.8762765       -2.0738075       -2.0709052        1.4721711
              3.2              -40               20       -12.197463       -57.812389        2.6870174       -3.1316235       -1.1341232        2.7393465
                4              -40               20       -26.335152       -58.916355        3.3097615       -5.4504628      -0.69513667         5.985786
              4.8              -40               20       -46.225433       -55.403473        2.7208583       -7.1929426        2.1418023        6.5190125
              5.6              -40               20       -67.883163       -44.659367       0.89616489         -9.03407        4.7353182        7.4721804
              6.4              -40               20       -89.455986       -24.619423       -1.4684392       -9.5890045        8.4170399        6.5016923
              7.2              -40               20       -102.35062        5.6212254       -4.5919256       -8.4118042        13.688545        1.9224213
