           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20        12.711351       -52.415092       -10.033156        10.239143        14.566443        -34.63916
            -39.2              -40               20        39.722755       -6.4632154       -7.5517259       -17.280025        28.414202          15.1273
            -38.4              -40               20       -11.857598        28.775629        22.603222       -13.515047       -4.6593957        25.994673
            -37.6              -40               20          -37.097       -8.8793011        23.025431        25.136591       -13.518536       -12.242198
            -36.8              -40               20        17.469578       -33.132504       -18.088821         32.21566        14.545031       -18.759018
              -36              -40               20        48.181313        17.705984       -40.624531       -9.7663546        16.495684         21.01989
            -35.2              -40               20       -12.559789        59.244709       -9.9152794       -39.004921       -23.766127        31.450403
            -34.4              -40               20       -72.810249        4.5524716        30.388641       -16.333921       -42.328205       -16.140461
            -33.6              -40               20       -31.122868       -79.686325        27.063869        19.256624      0.080504656        -52.04575
            -32.8              -40               20        62.802811       -69.255981       -6.0725193        19.987635        50.888237       -20.381588
              -32              -40               20        85.362564        27.641754       -17.914518       -3.6400743        39.632385        35.867031
            -31.2              -40               20        15.615948        82.408234       0.78440928       -11.766342       -17.273573        42.790455
            -30.4              -40               20       -49.321136        37.710144        12.691089        3.2499821        -41.61322        1.4317665
            -29.6              -40               20       -37.679775       -23.980923       -1.5510409        15.371129       -8.3026323       -27.373348
            -28.8              -40               20        11.341928       -16.881754       -18.544807        5.4226189        27.075924       -10.553101
              -28              -40               20        13.910484          32.2351       -12.360272       -16.286818        13.287122        22.940548
            -27.2              -40               20       -40.918331        36.730133        9.6679783        -22.24889        -27.96755        22.790314
            -26.4              -40               20       -74.150444       -27.288914        21.933479       -2.9900894       -38.991596        -17.13899
            -25.6              -40               20       -23.680977       -94.712234        13.524133        18.946358       -3.7078691       -49.284904
            -24.8              -40               20        70.889732       -89.239578         -5.19314        19.561455        41.184856       -33.427322
              -24              -40               20        119.34525       -3.8153591       -16.769094        3.1571426        54.091339        15.704393
            -23.2              -40               20        78.417099        92.546013       -10.676439         -10.5496        22.841183        51.995487
            -22.4              -40               20       -17.191505        119.89138        5.2432899       -10.353994         -25.5485        46.722233
            -21.6              -40               20       -93.095192        63.838058        12.013834        1.3872976       -47.891857        9.6648655
            -20.8              -40               20       -96.815613        -20.15379        3.6799932        13.587065        -31.50017       -26.706797
              -20              -40               20       -38.950779       -70.014816       -9.8368502        14.432265      -0.19431686       -35.915573
            -19.2              -40               20        23.842281       -61.965382       -19.671942         2.137361        21.194571       -15.243632
            -18.4              -40               20        44.173077       -12.469674       -20.212498       -13.730859        20.886539        12.852706
            -17.6              -40               20        17.122723        33.173122       -8.1336012       -23.769135      0.025964737        22.453369
            -16.8              -40               20       -30.246729        35.403831        9.3488083       -25.243305       -22.680378        10.669861
              -16              -40               20       -63.759327       -5.0482883        21.552752       -17.401258       -28.138983       -9.9941301
            -15.2              -40               20       -58.733883       -61.302933        26.616482       -2.2270906       -16.044434       -30.090824
            -14.4              -40               20       -12.158813        -106.3551        24.642365        11.907343        5.1419868       -39.035751
            -13.6              -40               20        55.018227       -116.13521        14.672996        19.176731        27.592863        -29.84507
            -12.8              -40               20        116.03953       -81.531273         2.700635        21.253122        41.696541       -11.123149
              -12              -40               20        153.47282       -18.338217        -4.451858        18.744013         42.73991        7.7154031
            -11.2              -40               20        157.01788        51.895763       -7.4347405        12.271288         34.45097        25.514584
            -10.4              -40               20        127.05842        114.63058       -8.1830397        7.4042597        21.282183        37.506004
             -9.6              -40               20        77.162148        157.36691       -6.7664838        6.2616549        5.9268198        40.302837
             -8.8              -40               20        19.937157        173.86331         -4.64324         5.901176       -8.7668352        38.510365
               -8              -40               20       -36.581161        167.46973       -3.8585277        6.3233252       -19.736471        32.860771
             -7.2              -40               20       -81.963097        144.94815       -5.0536098        7.7619238       -25.482618        22.512667
             -6.4              -40               20       -111.61166        113.78909       -6.8502145        7.9118237       -27.613724        13.312844
             -5.6              -40               20       -129.38663        81.037483       -7.7326169        7.1093292       -26.662176        6.6943307
             -4.8              -40               20       -136.51036        50.798004         -8.08424        6.2113376       -22.422636     -0.070610836
               -4              -40               20       -135.95093        24.950352       -7.9901195        3.8420148       -18.646278       -3.1247516
             -3.2              -40               20       -135.34102        4.0083213       -6.9391975        1.5946021        -15.85378       -2.4674194
             -2.4              -40               20       -134.10556       -12.027583       -5.5423656        1.5467257       -10.681669       -3.6920063
             -1.6              -40               20       -129.48228       -22.673433       -3.9124289        1.1156183        -5.895505       -3.8635318
             -0.8              -40               20       -126.89746       -28.151493        -1.862435      -0.27113953       -3.4954388      -0.95816159
                0              -40               20       -127.16295       -29.735878                0                0                0                0
              0.8              -40               20       -126.89746       -28.151493         1.862435       0.27113953        3.4954388       0.95816159
              1.6              -40               20       -129.48228       -22.673433        3.9124289       -1.1156183         5.895505        3.8635318
              2.4              -40               20       -134.10556       -12.027583        5.5423656       -1.5467257        10.681669        3.6920063
              3.2              -40               20       -135.34102        4.0083213        6.9391975       -1.5946021         15.85378        2.4674194
                4              -40               20       -135.95093        24.950352        7.9901195       -3.8420148        18.646278        3.1247516
              4.8              -40               20       -136.51036        50.798004          8.08424       -6.2113376        22.422636      0.070610836
              5.6              -40               20       -129.38663        81.037483        7.7326169       -7.1093292        26.662176       -6.6943307
              6.4              -40               20       -111.61166        113.78909        6.8502145       -7.9118237        27.613724       -13.312844
              7.2              -40               20       -81.963097        144.94815        5.0536098       -7.7619238        25.482618       -22.512667
                8              -40               20       -36.581161        167.46973        3.8585277       -6.3233252        19.736471       -32.860771
              8.8              -40               20        19.937157        173.86331          4.64324        -5.901176        8.7668352       -38.510365
              9.6              -40               20        77.162148        157.36691        6.7664838       -6.2616549       -5.9268198       -40.302837
             10.4              -40               20        127.05842        114.63058        8.1830397       -7.4042597       -21.282183       -37.506004
             11.2              -40               20        157.01788        51.895763        7.4347405       -12.271288        -34.45097       -25.514584
               12              -40               20        153.47282       -18.338217         4.451858       -18.744013        -42.73991       -7.7154031
             12.8              -40               20        116.03953       -81.531273        -2.700635       -21.253122       -41.696541        11.123149
             13.6              -40               20        55.018227       -116.13521       -14.672996       -19.176731       -27.592863         29.84507
             14.4              -40               20       -12.158813        -106.3551       -24.642365       -11.907343       -5.1419868        39.035751
             15.2              -40               20       -58.733883       -61.302933       -26.616482        2.2270906        16.044434        30.090824
               16              -40               20       -63.759327       -5.0482883       -21.552752        17.401258        28.138983        9.9941301
             16.8              -40               20       -30.246729        35.403831       -9.3488083        25.243305        22.680378       -10.669861
             17.6              -40               20        17.122723        33.173122        8.1336012        23.769135     -0.025964737       -22.453369
             18.4              -40               20        44.173077       -12.469674        20.212498        13.730859       -20.886539       -12.852706
             19.2              -40               20        23.842281       -61.965382        19.671942        -2.137361       -21.194571        15.243632
               20              -40               20       -38.950779       -70.014816        9.8368502       -14.432265       0.19431686        35.915573
             20.8              -40               20       -96.815613        -20.15379       -3.6799932       -13.587065         31.50017        26.706797
             21.6              -40               20       -93.095192        63.838058       -12.013834       -1.3872976        47.891857       -9.6648655
             22.4              -40               20       -17.191505        119.89138       -5.2432899        10.353994          25.5485       -46.722233
             23.2              -40               20        78.417099        92.546013        10.676439          10.5496       -22.841183       -51.995487
               24              -40               20        119.34525       -3.8153591        16.769094       -3.1571426       -54.091339       -15.704393
             24.8              -40               20        70.889732       -89.239578          5.19314       -19.561455       -41.184856        33.427322
             25.6              -40               20       -23.680977       -94.712234       -13.524133       -18.946358        3.7078691        49.284904
             26.4              -40               20       -74.150444       -27.288914       -21.933479        2.9900894        38.991596         17.13899
             27.2              -40               20       -40.918331        36.730133       -9.6679783         22.24889         27.96755       -22.790314
               28              -40               20        13.910484          32.2351        12.360272        16.286818       -13.287122       -22.940548
             28.8              -40               20        11.341928       -16.881754        18.544807       -5.4226189       -27.075924        10.553101
             29.6              -40               20       -37.679775       -23.980923        1.5510409       -15.371129        8.3026323        27.373348
             30.4              -40               20       -49.321136        37.710144       -12.691089       -3.2499821         41.61322       -1.4317665
             31.2              -40               20        15.615948        82.408234      -0.78440928        11.766342        17.273573       -42.790455
               32              -40               20        85.362564        27.641754        17.914518        3.6400743       -39.632385       -35.867031
             32.8              -40               20        62.802811       -69.255981        6.0725193       -19.987635       -50.888237        20.381588
             33.6              -40               20       -31.122868       -79.686325       -27.063869       -19.256624     -0.080504656         52.04575
             34.4              -40               20       -72.810249        4.5524716       -30.388641        16.333921        42.328205        16.140461
             35.2              -40               20       -12.559789        59.244709        9.9152794        39.004921        23.766127       -31.450403
               36              -40               20        48.181313        17.705984        40.624531        9.7663546       -16.495684        -21.01989
             36.8              -40               20        17.469578       -33.132504        18.088821        -32.21566       -14.545031        18.759018
             37.6              -40               20          -37.097       -8.8793011       -23.025431       -25.136591        13.518536        12.242198
