           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             14.4              -40               20        59.092487        80.874901       -7.7210226        14.247327       -17.542324       -17.825853
             15.2              -40               20        96.733292        12.691566        4.8873596        8.8859606       -27.484381       -2.2414913
               16              -40               20        69.925087       -60.011513        3.8077488       -1.8527172       -21.189455        18.194752
             16.8              -40               20       -7.7366848        -84.22493       -5.1187534       -5.3346066       -4.7108536        30.089989
             17.6              -40               20       -70.265045       -41.094582       -14.186985           6.1134         18.44698        19.772411
             18.4              -40               20       -61.804226         33.88245       -5.9332695        21.193808        26.193348       -1.2923324
             19.2              -40               20        1.4614962        60.029827        19.476442        22.424809        9.3073578       -18.184313
               20              -40               20        47.691719        13.206512        32.575172         -3.81529       -7.7714982       -12.424382
             20.8              -40               20        15.713202        -36.72776        16.392277        -35.10099       -7.4046803        5.9014993
             21.6              -40               20       -47.742332       -18.992388       -21.739143       -32.648117        6.8338194        4.6885433
             22.4              -40               20       -39.087841        52.921734       -42.764076         4.447423        9.1203518       -14.419981
             23.2              -40               20        48.710411        67.816772       -12.873787        38.400707       -16.978767       -19.950174
               24              -40               20        94.889908       -21.425674        27.739964        25.372353       -29.364813        11.343304
             24.8              -40               20          16.8909       -93.889526        27.247549       -14.305713      -0.24606276        39.127441
             25.6              -40               20       -81.393501       -44.610332       -3.9839754       -20.744366        35.431305        14.271744
             26.4              -40               20        -55.73053        55.512444       -13.268785        4.1394682        27.172228       -30.177555
             27.2              -40               20        34.017002        54.171364        11.522559        4.2666645       -19.299183       -27.958364
               28              -40               20        35.309662       -24.471546        4.3718166       -20.549534       -27.898388        8.5418587
             28.8              -40               20        -20.40307       -22.349031       -32.531647       -9.0312643        5.8009024         17.08239
             29.6              -40               20       -1.0944157        31.924381       -15.829636        34.992226        9.5659599       -6.2551851
             30.4              -40               20        51.116245       -6.9311705        37.412506        26.119596        -13.10865       -2.7285028
             31.2              -40               20       -5.6834908       -68.967903        29.060253       -33.209557      -0.31945896        24.853981
               32              -40               20       -87.011604       -4.8234215       -26.984392       -31.198753         28.89563        2.7304888
             32.8              -40               20       -20.898106        80.841797        -26.16687        21.136837        7.0726223       -36.951717
             33.6              -40               20        68.179184        28.639311        15.793395        15.379145       -32.438709       -7.7007046
             34.4              -40               20         19.06221       -42.661942        4.1748986       -12.952331       -8.4602957        30.482115
             35.2              -40               20       -18.835098       -3.9469833       -16.220747        12.066395        23.329523         -1.91258
               36              -40               20        29.422421        5.5171919        21.250832        14.480966       -7.5969734       -15.902675
             36.8              -40               20       -1.6920409        -43.00666        20.198038       -29.933659       -9.2305717        19.482071
             37.6              -40               20        -57.70948        6.8554659       -32.137714       -14.020898        25.970619        2.5537539
             38.4              -40               20        9.8872347        56.533012       -12.385159        31.659639       -6.5784955        -27.67177
             39.2              -40               20        40.464451       -25.543879        29.622684        1.2032251       -32.395962        13.697643
               40              -40               20       -34.248154       -43.453869       -7.7426443       -24.155682        25.053911        22.658264
              -40            -39.2               20        55.749413        -13.94645         -26.8606        3.8706465        32.407204       -14.616928
            -39.2            -39.2               20        4.5707498        55.387505        6.6660633       -30.054661       0.86011314         37.99947
            -38.4            -39.2               20       -65.154099       -3.7407041        30.023489        12.932087       -27.058821       -6.4399776
            -37.6            -39.2               20        6.0461435       -45.026836        -12.28088        25.510904        14.336242       -21.398809
            -36.8            -39.2               20        21.658144        14.646063       -18.542231        -12.84895        7.0434794        18.418245
              -36            -39.2               20       -24.270607       -2.2227645         7.143332       -3.4383593       -23.417418       -6.5498524
            -35.2            -39.2               20        33.823341       -41.745266       -7.9783587         10.61157        13.226111       -28.850647
            -34.4            -39.2               20        59.709476        37.363026       -11.368753       -24.909636        31.886463        23.068712
            -33.6            -39.2               20       -44.099564        68.266174         31.10289       -17.848566       -19.429081        30.783781
            -32.8            -39.2               20         -66.5242       -35.602348        23.352005        36.068989       -28.799166       -18.892685
