           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -40              -40               20        62.868744        12.615252       -5.2629366       -13.076861        40.574177        11.296805
            -39.2              -40               20        18.352785        42.536583         21.05761       -5.3834085        -12.33421        27.483255
            -38.4              -40               20       -16.686043       -6.5264368        8.1078081        23.597099       -24.464041      -0.79317284
            -37.6              -40               20        8.6143398       -23.511345       -29.048309        15.000973        8.4113216        -5.131484
            -36.8              -40               20        8.7971144        21.789639       -21.841099       -23.411354        7.6470013        16.459654
              -36              -40               20         -40.5877        21.628845        20.283873       -27.574186       -25.510294        4.0643702
            -35.2              -40               20       -38.550442       -43.253349        27.993118        8.3418436       -14.018377       -36.407375
            -34.4              -40               20        43.301121       -52.940166       -3.7619386        24.913456        37.981537        -29.30838
            -33.6              -40               20        79.752708        29.804756       -17.549723        3.0802102        41.545364        29.422728
            -32.8              -40               20        2.4968586        84.514694      -0.12081194       -12.479652       -15.068989         53.39286
              -32              -40               20       -78.839394        31.949959        8.5769129        1.7244264        -49.55275         6.949399
            -31.2              -40               20       -52.680534       -49.044334       -7.4473572        13.038017       -20.689007       -41.794857
            -30.4              -40               20        25.756977       -53.007893       -18.708727       -5.4377317        22.220249       -27.848148
            -29.6              -40               20        37.010818        3.5793352      -0.76680326       -27.054571         21.69062        15.709406
            -28.8              -40               20         -16.1299        22.240803         27.56599       -14.899469       -8.0801783        16.591383
              -28              -40               20       -29.992416       -23.338287        28.831905        18.537636       -11.822532       -17.712521
            -27.2              -40               20        27.559824       -49.931717       -1.1241708        33.120762        17.555454       -22.585766
            -26.4              -40               20        77.365791        1.0147514       -28.665388        17.305115        34.116119        12.960583
            -25.6              -40               20        47.067017         77.31102       -26.757486       -9.9234295        7.7660861        43.912899
            -24.8              -40               20       -42.660988        87.967468       -4.4763784        -24.11178       -36.893669        32.962162
              -24              -40               20       -102.87098          15.2031        12.120236       -15.768322       -49.530449       -13.027987
            -23.2              -40               20        -73.05764       -72.715759        13.003263         1.035194       -17.889145       -48.349846
            -22.4              -40               20        12.220562       -100.85916        4.7969003        7.3041883        23.660709       -40.162708
            -21.6              -40               20         75.18074       -53.447712       -3.1104147         1.894275        43.466549       -3.9142785
            -20.8              -40               20        77.192635        23.648977       -1.5149405       -4.3472805        30.685392        25.432549
              -20              -40               20        31.988068        64.544342        8.3207283       -4.2208118       -2.8072929        30.147585
            -19.2              -40               20       -18.846958        45.758301        13.096339        3.1389856       -24.624578        14.579311
            -18.4              -40               20       -33.784485       0.45173717        7.5784745        14.230476       -19.410261       -7.7361798
            -17.6              -40               20       -3.0499668        -28.82147       -3.3126411         19.96093      -0.60621309       -20.911287
            -16.8              -40               20        42.737099       -18.266535       -15.408112          13.5596        17.858749       -12.814033
              -16              -40               20         62.19136        31.861715       -21.781414       0.75851297        25.586744         9.079401
            -15.2              -40               20         37.06794        90.120064       -17.022276       -9.8042507        15.329528        26.843369
            -14.4              -40               20       -24.182791        118.27361       -6.4430823       -15.369822       -6.0234671        33.895271
            -13.6              -40               20       -96.142998        101.15931        2.4571567       -13.557332       -26.208233         27.81468
            -12.8              -40               20       -147.83226        44.325974        6.9867411       -6.2513499       -38.204041        10.267123
              -12              -40               20       -162.74171       -31.862194        6.0339451     -0.028319836       -38.834045       -7.6952338
            -11.2              -40               20       -140.54372       -101.24324       0.89564812        3.9579802       -29.628664       -22.687355
            -10.4              -40               20       -86.890762       -148.59175       -4.6874952        4.9499817       -16.131443       -33.951633
             -9.6              -40               20       -20.164658       -168.56619       -8.5248766       0.55204004       -3.3759615       -34.014339
             -8.8              -40               20        38.330288       -160.73485       -10.189595       -4.9729385        7.2536201       -27.536118
               -8              -40               20        83.512695       -132.69273       -9.0982437       -8.8192654        15.196651       -22.524944
             -7.2              -40               20        113.30014        -95.20639       -5.3120375       -13.088035        18.070557       -15.026045
             -6.4              -40               20        124.25645       -56.250263      -0.78793198       -15.217072        17.875402       -7.7133365
             -5.6              -40               20         124.6865       -21.477972         2.951411       -13.871692        17.859524       -5.4369602
             -4.8              -40               20          120.074        6.1518559        6.1470761       -12.699227        15.489641       -2.1314011
               -4              -40               20        108.31939        26.311939        8.1196556       -11.239115        12.174276        1.4127837
             -3.2              -40               20        95.566002        40.523701        8.3409872       -8.2336807        11.251586       0.91279781
             -2.4              -40               20        86.133476         50.43042        7.7581396       -5.9099593        8.8741179        1.2347963
             -1.6              -40               20         77.64431        56.317005        5.8024287       -3.8393304        5.1598692        1.7579823
