Hz, dB, Deg.
2.21023080108011e+005, 6.57891455834345e+001, -1.26120124665887e+002
2.22023180018002e+005, 6.58291192447645e+001, -1.26286878918357e+002
2.23023279927993e+005, 6.58689183983252e+001, -1.26453676768483e+002
2.24023379837984e+005, 6.59085445983127e+001, -1.26620518381896e+002
2.25023479747975e+005, 6.59479993777473e+001, -1.26787403923775e+002
2.26023579657966e+005, 6.59872842488475e+001, -1.26954333558841e+002
2.27023679567957e+005, 6.60264007033956e+001, -1.27121307451356e+002
2.28023779477948e+005, 6.60653502130956e+001, -1.27288325765120e+002
2.29023879387939e+005, 6.61041342299226e+001, -1.27455388663466e+002
2.30023979297930e+005, 6.61427541864654e+001, -1.27622496309260e+002
2.31024079207921e+005, 6.61812114962612e+001, -1.27789648864898e+002
2.32024179117912e+005, 6.62195075541229e+001, -1.27956846492302e+002
2.33024279027903e+005, 6.62576437364601e+001, -1.28124089352915e+002
2.34024378937894e+005, 6.62956214015920e+001, -1.28291377607704e+002
2.35024478847885e+005, 6.63334418900554e+001, -1.28458711417150e+002
2.36024578757876e+005, 6.63711065249042e+001, -1.28626090941251e+002
2.37024678667867e+005, 6.64086166120043e+001, -1.28793516339516e+002
2.38024778577858e+005, 6.64459734403207e+001, -1.28960987770962e+002
2.39024878487849e+005, 6.64831782822004e+001, -1.29128505394113e+002
2.40024978397840e+005, 6.65202323936474e+001, -1.29296069366994e+002
2.41025078307831e+005, 6.65571370145937e+001, -1.29463679847132e+002
2.42025178217822e+005, 6.65938933691637e+001, -1.29631336991549e+002
2.43025278127813e+005, 6.66305026659334e+001, -1.29799040956764e+002
2.44025378037804e+005, 6.66669660981846e+001, -1.29966791898783e+002
2.45025477947795e+005, 6.67032848441532e+001, -1.30134589973103e+002
2.46025577857786e+005, 6.67394600672734e+001, -1.30302435334705e+002
2.47025677767777e+005, 6.67754929164157e+001, -1.30470328138052e+002
2.48025777677768e+005, 6.68113845261215e+001, -1.30638268537085e+002
2.49025877587759e+005, 6.68471360168323e+001, -1.30806256685224e+002
2.50025977497750e+005, 6.68827484951136e+001, -1.30974292735359e+002
2.51026077407741e+005, 6.69182230538760e+001, -1.31142376839851e+002
2.52026177317732e+005, 6.69535607725900e+001, -1.31310509150529e+002
2.53026277227723e+005, 6.69887627174985e+001, -1.31478689818684e+002
2.54026377137714e+005, 6.70238299418233e+001, -1.31646918995069e+002
2.55026477047705e+005, 6.70587634859690e+001, -1.31815196829896e+002
2.56026576957696e+005, 6.70935643777218e+001, -1.31983523472828e+002
2.57026676867687e+005, 6.71282336324452e+001, -1.32151899072984e+002
2.58026776777678e+005, 6.71627722532716e+001, -1.32320323778929e+002
2.59026876687669e+005, 6.71971812312903e+001, -1.32488797738675e+002
2.60026976597660e+005, 6.72314615457314e+001, -1.32657321099675e+002
2.61027076507651e+005, 6.72656141641473e+001, -1.32825894008822e+002
2.62027176417642e+005, 6.72996400425893e+001, -1.32994516612445e+002
2.63027276327633e+005, 6.73335401257821e+001, -1.33163189056308e+002
2.64027376237624e+005, 6.73673153472940e+001, -1.33331911485602e+002
2.65027476147615e+005, 6.74009666297048e+001, -1.33500684044948e+002
2.66027576057606e+005, 6.74344948847699e+001, -1.33669506878388e+002
2.67027675967597e+005, 6.74679010135813e+001, -1.33838380129387e+002
2.68027775877588e+005, 6.75011859067262e+001, -1.34007303940826e+002
2.69027875787579e+005, 6.75343504444419e+001, -1.34176278455001e+002
2.70027975697570e+005, 6.75673954967687e+001, -1.34345303813619e+002
2.71028075607561e+005, 6.76003219236987e+001, -1.34514380157796e+002
2.72028175517552e+005, 6.76331305753235e+001, -1.34683507628052e+002
2.73028275427543e+005, 6.76658222919777e+001, -1.34852686364309e+002
2.74028375337534e+005, 6.76983979043809e+001, -1.35021916505887e+002
2.75028475247525e+005, 6.77308582337760e+001, -1.35191198191504e+002
2.76028575157516e+005, 6.77632040920666e+001, -1.35360531559267e+002
2.77028675067507e+005, 6.77954362819500e+001, -1.35529916746674e+002
2.78028774977498e+005, 6.78275555970493e+001, -1.35699353890607e+002
2.79028874887489e+005, 6.78595628220424e+001, -1.35868843127335e+002
2.80028974797480e+005, 6.78914587327894e+001, -1.36038384592500e+002
2.81029074707471e+005, 6.79232440964562e+001, -1.36207978421127e+002
2.82029174617462e+005, 6.79549196716382e+001, -1.36377624747609e+002
2.83029274527453e+005, 6.79864862084794e+001, -1.36547323705712e+002
2.84029374437444e+005, 6.80179444487916e+001, -1.36717075428567e+002
2.85029474347435e+005, 6.80492951261698e+001, -1.36886880048668e+002
2.86029574257426e+005, 6.80805389661064e+001, -1.37056737697871e+002
2.87029674167417e+005, 6.81116766861037e+001, -1.37226648507388e+002
2.88029774077408e+005, 6.81427089957834e+001, -1.37396612607785e+002
2.89029873987399e+005, 6.81736365969953e+001, -1.37566630128978e+002
2.90029973897390e+005, 6.82044601839235e+001, -1.37736701200230e+002
2.91030073807381e+005, 6.82351804431910e+001, -1.37906825950149e+002
2.92030173717372e+005, 6.82657980539626e+001, -1.38077004506683e+002
2.93030273627363e+005, 6.82963136880457e+001, -1.38247236997118e+002
2.94030373537354e+005, 6.83267280099896e+001, -1.38417523548074e+002
2.95030473447345e+005, 6.83570416771833e+001, -1.38587864285501e+002
2.96030573357336e+005, 6.83872553399514e+001, -1.38758259334679e+002
2.97030673267327e+005, 6.84173696416484e+001, -1.38928708820210e+002
2.98030773177318e+005, 6.84473852187518e+001, -1.39099212866018e+002
2.99030873087309e+005, 6.84773027009529e+001, -1.39269771595346e+002
3.00030972997300e+005, 6.85071227112467e+001, -1.39440385130750e+002
3.01031072907291e+005, 6.85368458660204e+001, -1.39611053594098e+002
3.02031172817282e+005, 6.85664727751399e+001, -1.39781777106566e+002
3.03031272727273e+005, 6.85960040420350e+001, -1.39952555788636e+002
3.04031372637264e+005, 6.86254402637841e+001, -1.40123389760088e+002
3.05031472547255e+005, 6.86547820311958e+001, -1.40294279140004e+002
3.06031572457246e+005, 6.86840299288910e+001, -1.40465224046759e+002
3.07031672367237e+005, 6.87131845353823e+001, -1.40636224598019e+002
3.08031772277228e+005, 6.87422464231529e+001, -1.40807280910741e+002
3.09031872187219e+005, 6.87712161587339e+001, -1.40978393101163e+002
3.10031972097210e+005, 6.88000943027803e+001, -1.41149561284808e+002
3.11032072007201e+005, 6.88288814101462e+001, -1.41320785576476e+002
3.12032171917192e+005, 6.88575780299583e+001, -1.41492066090243e+002
3.13032271827183e+005, 6.88861847056887e+001, -1.41663402939455e+002
3.14032371737174e+005, 6.89147019752257e+001, -1.41834796236727e+002
3.15032471647165e+005, 6.89431303709448e+001, -1.42006246093942e+002
3.16032571557156e+005, 6.89714704197776e+001, -1.42177752622240e+002
3.17032671467147e+005, 6.89997226432796e+001, -1.42349315932024e+002
3.18032771377138e+005, 6.90278875576977e+001, -1.42520936132949e+002
3.19032871287129e+005, 6.90559656740357e+001, -1.42692613333924e+002
3.20032971197120e+005, 6.90839574981198e+001, -1.42864347643107e+002
3.21033071107111e+005, 6.91118635306619e+001, -1.43036139167898e+002
3.22033171017102e+005, 6.91396842673231e+001, -1.43207988014943e+002
3.23033270927093e+005, 6.91674201987757e+001, -1.43379894290124e+002
3.24033370837084e+005, 6.91950718107635e+001, -1.43551858098560e+002
3.25033470747075e+005, 6.92226395841630e+001, -1.43723879544601e+002
3.26033570657066e+005, 6.92501239950418e+001, -1.43895958731826e+002
3.27033670567057e+005, 6.92775255147172e+001, -1.44068095763041e+002
3.28033770477048e+005, 6.93048446098136e+001, -1.44240290740271e+002
3.29033870387039e+005, 6.93320817423191e+001, -1.44412543764764e+002
3.30033970297030e+005, 6.93592373696411e+001, -1.44584854936979e+002
3.31034070207021e+005, 6.93863119446611e+001, -1.44757224356591e+002
3.32034170117012e+005, 6.94133059157893e+001, -1.44929652122482e+002
3.33034270027003e+005, 6.94402197270169e+001, -1.45102138332740e+002
3.34034369936994e+005, 6.94670538179694e+001, -1.45274683084656e+002
3.35034469846985e+005, 6.94938086239581e+001, -1.45447286474720e+002
3.36034569756976e+005, 6.95204845760306e+001, -1.45619948598617e+002
3.37034669666967e+005, 6.95470821010216e+001, -1.45792669551225e+002
3.38034769576958e+005, 6.95736016216019e+001, -1.45965449426612e+002
3.39034869486949e+005, 6.96000435563272e+001, -1.46138288318029e+002
3.40034969396940e+005, 6.96264083196864e+001, -1.46311186317914e+002
3.41035069306931e+005, 6.96526963221485e+001, -1.46484143517881e+002
3.42035169216922e+005, 6.96789079702097e+001, -1.46657160008721e+002
3.43035269126913e+005, 6.97050436664388e+001, -1.46830235880399e+002
3.44035369036904e+005, 6.97311038095231e+001, -1.47003371222048e+002
3.45035468946895e+005, 6.97570887943128e+001, -1.47176566121968e+002
3.46035568856886e+005, 6.97829990118649e+001, -1.47349820667623e+002
3.47035668766877e+005, 6.98088348494867e+001, -1.47523134945635e+002
3.48035768676868e+005, 6.98345966907788e+001, -1.47696509041784e+002
3.49035868586859e+005, 6.98602849156769e+001, -1.47869943041002e+002
3.50035968496850e+005, 6.98858999004937e+001, -1.48043437027372e+002
3.51036068406841e+005, 6.99114420179597e+001, -1.48216991084123e+002
3.52036168316832e+005, 6.99369116372639e+001, -1.48390605293630e+002
3.53036268226823e+005, 6.99623091240932e+001, -1.48564279737405e+002
3.54036368136814e+005, 6.99876348406724e+001, -1.48738014496100e+002
3.55036468046805e+005, 7.00128891458023e+001, -1.48911809649498e+002
3.56036567956796e+005, 7.00380723948982e+001, -1.49085665276517e+002
3.57036667866787e+005, 7.00631849400279e+001, -1.49259581455198e+002
3.58036767776778e+005, 7.00882271299484e+001, -1.49433558262709e+002
3.59036867686769e+005, 7.01131993101428e+001, -1.49607595775340e+002
3.60036967596760e+005, 7.01381018228568e+001, -1.49781694068495e+002
3.61037067506751e+005, 7.01629350071337e+001, -1.49955853216698e+002
3.62037167416742e+005, 7.01876991988503e+001, -1.50130073293581e+002
3.63037267326733e+005, 7.02123947307513e+001, -1.50304354371885e+002
3.64037367236724e+005, 7.02370219324836e+001, -1.50478696523459e+002
3.65037467146715e+005, 7.02615811306301e+001, -1.50653099819250e+002
3.66037567056706e+005, 7.02860726487431e+001, -1.50827564329307e+002
3.67037666966697e+005, 7.03104968073774e+001, -1.51002090122775e+002
3.68037766876688e+005, 7.03348539241223e+001, -1.51176677267890e+002
3.69037866786679e+005, 7.03591443136342e+001, -1.51351325831980e+002
3.70037966696670e+005, 7.03833682876678e+001, -1.51526035881458e+002
3.71038066606661e+005, 7.04075261551077e+001, -1.51700807481821e+002
3.72038166516652e+005, 7.04316182219987e+001, -1.51875640697647e+002
3.73038266426643e+005, 7.04556447915767e+001, -1.52050535592590e+002
3.74038366336634e+005, 7.04796061642986e+001, -1.52225492229379e+002
3.75038466246625e+005, 7.05035026378714e+001, -1.52400510669816e+002
3.76038566156616e+005, 7.05273345072824e+001, -1.52575590974769e+002
3.77038666066607e+005, 7.05511020648269e+001, -1.52750733204173e+002
3.78038765976598e+005, 7.05748056001379e+001, -1.52925937417022e+002
3.79038865886589e+005, 7.05984454002131e+001, -1.53101203671374e+002
3.80038965796580e+005, 7.06220217494434e+001, -1.53276532024339e+002
3.81039065706571e+005, 7.06455349296402e+001, -1.53451922532082e+002
3.82039165616562e+005, 7.06689852200620e+001, -1.53627375249820e+002
3.83039265526553e+005, 7.06923728974419e+001, -1.53802890231813e+002
3.84039365436544e+005, 7.07156982360130e+001, -1.53978467531368e+002
3.85039465346535e+005, 7.07389615075355e+001, -1.54154107200835e+002
3.86039565256526e+005, 7.07621629813217e+001, -1.54329809291599e+002
3.87039665166517e+005, 7.07853029242616e+001, -1.54505573854083e+002
3.88039765076508e+005, 7.08083816008480e+001, -1.54681400937742e+002
3.89039864986499e+005, 7.08313992732013e+001, -1.54857290591060e+002
3.90039964896490e+005, 7.08543562010940e+001, -1.55033242861549e+002
3.91040064806481e+005, 7.08772526419747e+001, -1.55209257795745e+002
3.92040164716472e+005, 7.09000888509924e+001, -1.55385335439204e+002
3.93040264626463e+005, 7.09228650810194e+001, -1.55561475836502e+002
3.94040364536454e+005, 7.09455815826752e+001, -1.55737679031230e+002
3.95040464446445e+005, 7.09682386043491e+001, -1.55913945065992e+002
3.96040564356436e+005, 7.09908363922234e+001, -1.56090273982400e+002
3.97040664266427e+005, 7.10133751902952e+001, -1.56266665821077e+002
